publicacion_id,sku,titulo,marca,modelo,origen_modelo,variantes_en_familia
MLA3919860348,411,Moneda Estados Unidos 1/4 Dólar 2000,Genérica,1/4 Dólar,valor facial (referencias distintas),5
MLA3919860350,261,Moneda Suiza 10 Rappen 1967,Genérica,KM# 27,referencia,1
MLA3919860356,398,Moneda Perú 1 Sol 2018,Genérica,1 Sol,valor facial (referencias distintas),4
MLA3919860358,827,Moneda Medalla Medalla Centenario Argentino 1810 1910,Genérica,CEMI# AGL01,referencia,1
MLA3919860362,826,Moneda Argentina 5 Pesos 1994,Genérica,CJ# 8.1.1,referencia,1
MLA3919860364,1197,Moneda Reino Unido 20 Pence 2010,Genérica,KM# 1111,referencia,1
MLA3919860366,756,Moneda Argentina 10 Centavos 1897,Genérica,CJ# 91,referencia,2
MLA3919860380,699,Moneda Paraguay 50 Céntimos 1944,Genérica,KM# 24,referencia,1
MLA3919860382,113,Moneda Argentina 2 Centavos 1944,Genérica,CJ# 178,referencia,1
MLA3919860390,1263,Moneda Líbano 1 Piastra 1955,Genérica,KM# 19,referencia,2
MLA3919860392,941,Moneda Yugoslavia 1 Dinar 1953,Genérica,KM# 32,referencia,1
MLA3919860394,565,Moneda Perú 10 Soles 1978,Genérica,KM# 275,referencia,1
MLA3919860398,683,Moneda Uruguay 2 Centésimos 1977,Genérica,KM# 72,referencia,1
MLA3919860404,1317,Moneda Imperio Otomano 10 Para 1900,Genérica,KM# 744,referencia,1
MLA3919860418,179,Moneda Portugal 20 Reis 1891,Genérica,KM# 533,referencia,1
MLA3919860422,43,Moneda Argentina Centavo 1886,Genérica,CJ# 42,referencia,1
MLA3919860424,489,Moneda Canadá 25 Cents 2000,Genérica,25 Cents,valor facial (referencias distintas),12
MLA3919860426,888,Moneda Suecia 5 Ore 1950,Genérica,KM# 779,referencia,1
MLA3919860428,880,Moneda Suecia 10 Kronor 1991,Genérica,KM# 877,referencia,1
MLA3919860430,266,Moneda Suiza 20 Rappen 1885,Genérica,KM# 29,referencia,1
MLA3919860432,1258,Moneda San Martín 5 Cents 2025,Genérica,5 Cents,valor facial (sin referencia),1
MLA3919860438,1311,Moneda Venezuela 25 Céntimos 1954,Genérica,Y# 35,referencia,1
MLA3919860440,970,Moneda China 1 Jiao 2009,Genérica,KM# 1210b,referencia,1
MLA3919860444,984,Moneda Reino Unido 25 New Pence 1981,Genérica,KM# 925,referencia,3
MLA3919860448,607,Moneda Egipto 5 Milliemes 1973,Genérica,KM# 432,referencia,1
MLA3919860460,135,Moneda África Occidental Francesa 10 Francos 1956,Genérica,KM# 6,referencia,1
MLA3919860462,932,Moneda China 1 Yuan 2013,Genérica,KM# 1211,referencia,1
MLA3919860472,1055,Moneda Alemania 5 Reichspfennig 1941,Genérica,KM# 100,referencia,1
MLA3919860480,417,Moneda Estados Unidos 1/4 Dólar 2001,Genérica,1/4 Dólar,valor facial (referencias distintas),7
MLA3919860482,114,Moneda Argentina 2 Centavos 1950,Genérica,CJ# 185,referencia,2
MLA3919860484,618,Moneda Argentina Centavo 1944,Genérica,CJ# 191,referencia,1
MLA3919860490,419,Moneda Estados Unidos 1/4 Dólar 2001,Genérica,1/4 Dólar,valor facial (referencias distintas),7
MLA3919860494,767,Moneda Argentina 20 Centavos 1912,Genérica,CJ# 63,referencia,2
MLA3919860496,600,Moneda Suecia 25 Ore 1943,Genérica,KM# 816,referencia,1
MLA3919860502,392,Moneda Perú 1 Sol 2019,Genérica,1 Sol,valor facial (referencias distintas),3
MLA3919860512,741,Moneda Argentina 5 Centavos 1907,Genérica,CJ# 138,referencia,2
MLA3919860514,859,Moneda Dinamarca 2 Kroner 1994,Genérica,KM# 874,referencia,1
MLA3919860518,711,Moneda Paraguay 10 Centavos 1903,Genérica,KM# 7,referencia,1
MLA3919860522,678,Moneda Reino Unido 3 Pence 1960,Genérica,KM# 900,referencia,1
MLA3919860524,1145,Moneda Rumania 100 Lei 1991,Genérica,KM# 111,referencia,1
MLA3919860526,936,Moneda Rusia 25 Rublos 2011,Genérica,KM# 1303,referencia,1
MLA3919860534,918,Moneda Estados Unidos 5 Cents P 2005,Genérica,KM# 369,referencia,1
MLA3919860540,188,Moneda Medalla Medalla Centenario De Necochea 1981,Genérica,Medalla Centenario de Necochea,valor facial (sin referencia),1
MLA3919860542,795,Moneda Sri Lanka 1 Rupia 2017,Genérica,KM# 168,referencia,1
MLA3919860544,702,Moneda Costa Rica 5 Céntimos 1976,Genérica,KM# 184.2,referencia,1
MLA3919860554,1274,Moneda Tayikistán 1 Somoni 2025,Genérica,KM# 56,referencia,1
MLA3919860558,101,Moneda Argentina 2 Centavos 1895,Genérica,CJ# 33,referencia,1
MLA3919860562,823,Moneda Estados Unidos 1/2 Dollar 1967,Genérica,KM# 202a,referencia,2
MLA3919860564,737,Moneda Argentina 5 Centavos 1904,Genérica,CJ# 135,referencia,2
MLA3919860570,881,Moneda Suecia 10 Ore 1970,Genérica,KM# 835,referencia,1
MLA3919860572,849,Moneda Bolivia 20 Centavos 1965,Genérica,KM# 189,referencia,1
MLA3919860574,480,Moneda Estados Unidos 1/4 Dólar 2021,Genérica,KM# 758,referencia,2
MLA3919860578,499,Moneda Canadá 25 Cents 2000,Genérica,25 Cents,valor facial (referencias distintas),12
MLA3919860584,385,Moneda Estados Unidos 1/2 Dollar D 1995,Genérica,KM# 202b,referencia,1
MLA3919860588,576,Moneda Israel 100 Pruta 1955,Genérica,KM# 14,referencia,1
MLA3919860590,1135,Moneda Bután 5 Chetrums 1975,Genérica,KM# 37,referencia,1
MLA3919860596,1310,Moneda Perú 2 Centavos 1863,Genérica,KM# 188.1,referencia,1
MLA3919860602,585,Moneda Egipto 10 Milliemes 1935,Genérica,KM# 347,referencia,1
MLA3919860608,90,Moneda Rusia 10 Rublos 2014,Genérica,KM# 156.6,referencia,1
MLA3919860610,400,Moneda Perú 1 Sol 2015,Genérica,KM# 374,referencia,1
MLA3919860612,1208,Moneda Reino Unido 10 Pence 2012,Genérica,KM# 1110d,referencia,1
MLA3919860614,713,Moneda Chile 10 Centésimos 1971,Genérica,KM# 194,referencia,1
MLA3919860622,739,Moneda Argentina 5 Centavos 1905,Genérica,CJ# 136,referencia,1
MLA3919860626,638,Moneda Argentina 2 Centavos 1945,Genérica,CJ# 179,referencia,3
MLA3919860628,900,Moneda Italia 5 Centesimi 1861,Genérica,KM# 3,referencia,1
MLA3919860632,408,Moneda Estados Unidos 1/4 Dólar 2000,Genérica,1/4 Dólar,valor facial (referencias distintas),5
MLA3919860634,1201,Moneda Reino Unido 20 Pence 2020,Genérica,KM# 1336,referencia,1
MLA3919860636,492,Moneda Canadá 25 Cents 2000,Genérica,25 Cents,valor facial (referencias distintas),12
MLA3919860638,249,Moneda Emiratos Árabes Unidos 5 Fils 1974,Genérica,KM# 2.1,referencia,1
MLA3919860642,627,Moneda Argentina 2 Centavos 1939,Genérica,CJ# 174,referencia,3
MLA3919860648,1303,Moneda San Marino 100 Liras 1978,Genérica,KM# 82,referencia,1
MLA3919860654,177,Moneda Noruega 1/2 Skilling 1867,Genérica,KM# 329,referencia,1
MLA3919860660,497,Moneda Canadá 25 Cents 2000,Genérica,25 Cents,valor facial (referencias distintas),12
MLA3919860662,788,Moneda Costa Rica 25 Colones 2023,Genérica,25 Colones,valor facial (referencias distintas),3
MLA3919860762,784,Moneda Canadá 25 Cents 2011,Genérica,25 Cents,valor facial (referencias distintas),2
MLA3919860764,49,Moneda Argentina 5 Centavos 1916,Genérica,CJ# 147,referencia,1
MLA3919860768,975,Moneda Argentina 10 Australes 1989,Genérica,CJ# 378.2,referencia,1
MLA3919860788,1138,Moneda Alemania 1 Deutsche Mark F 1991,Genérica,KM# 110,referencia,1
MLA3919860790,992,Moneda Reino Unido 1 Crown 1965,Genérica,KM# 910,referencia,2
MLA3919860792,704,Moneda Costa Rica 5 Céntimos 1979,Genérica,KM# 184.3a,referencia,1
MLA3919860794,1156,Moneda Alemania 5 Deutsche Mark 1965,Genérica,KM# 112.1,referencia,1
MLA3919860796,112,Moneda Argentina 20 Centavos 1936,Genérica,CJ# 83,referencia,3
MLA3919860798,285,Moneda Malasia 10 Sen 1973,Genérica,KM# 2,referencia,1
MLA3919860802,637,Moneda Argentina 2 Centavos 1942,Genérica,CJ# 177,referencia,2
MLA3919860804,136,Moneda India Rupia 2008,Genérica,KM# 331,referencia,1
MLA3919860806,287,Moneda Austria 2 Euro 2016,Genérica,KM# 3248,referencia,1
MLA3919860808,89,Moneda Brasil 1000 Réis 1910,Genérica,KM# 507,referencia,1
MLA3919860812,884,Moneda Suecia 2 Ore 1950,Genérica,KM# 778,referencia,1
MLA3919860814,867,Moneda España 100 Pesetas 1980,Genérica,KM# 820,referencia,1
MLA3919860816,370,Moneda Estados Unidos Cent 1907,Genérica,KM# 90,referencia,1
MLA3919860818,1023,Moneda Alemania 2 Reichspfennig A 1924,Genérica,KM# 37,referencia,1
MLA3919860820,1240,Moneda Chile 100 Pesos 2025,Genérica,100 Pesos,valor facial (referencias distintas),2
MLA3919860834,1179,Moneda Tristán De Acuña 25 Pence 1980,Genérica,KM# 3,referencia,1
MLA3919860836,424,Moneda Estados Unidos 1/4 Dólar 2005,Genérica,1/4 Dólar,valor facial (referencias distintas),4
