id,titulo,precio_usd,precio_web_ars,precio_ml,envio_gratis,neto_estimado,margen,corregido_si_no
1138,Moneda Alemania 1 Deutsche Mark F 1991,2.0,3080.0,7000,no,5880.0,2800.0,no
1139,Moneda Congo Belga y Ruanda-Urundi 5 Francos 1956,8.0,12320.0,18000,no,15120.0,2800.0,no
1141,Moneda Serbia 2 Dinara 2009,2.0,3080.0,7000,no,5880.0,2800.0,no
1142,Moneda Italia 1 Centesimo R 1900,3.0,4620.0,9000,no,7560.0,2940.0,no
1143,Moneda Italia 10 Centesimi R 1929,2.0,3080.0,7000,no,5880.0,2800.0,no
1145,Moneda Rumania 100 Lei 1991,2.5,3850.0,8000,no,6720.0,2870.0,no
1146,Moneda China 5 Fen 1982,2.5,3850.0,8000,no,6720.0,2870.0,no
1151,Moneda Francia 5 Francos 1994,4.5,6930.0,12000,no,10080.0,3150.0,no
1154,Moneda Francia 5 Francos 1837,51.5,79310.0,99000,no,83160.0,3850.0,no
1156,Moneda Alemania 5 Deutsche Mark 1965,20.0,30800.0,40000,no,33600.0,2800.0,no
1158,Moneda Austria 50 Schilling 1963,40.0,61600.0,77000,no,64680.0,3080.0,no
1159,Moneda Estados Unidos 1/2 Dólar Franklin 1958,30.0,46200.0,59000,no,49560.0,3360.0,no
1160,Moneda Austria 50 Schilling 1969,40.0,61600.0,77000,no,64680.0,3080.0,no
1161,Moneda Austria 25 Schilling 1957,25.0,38500.0,50000,no,42000.0,3500.0,no
1175,Moneda Dinamarca 4 Skilling 1854,25.0,38500.0,50000,no,42000.0,3500.0,no
1178,Moneda Tristán de Acuña 1 Crown 1978,16.0,24640.0,33000,no,27720.0,3080.0,no
1179,Moneda Tristán de Acuña 25 Pence 1980,18.0,27720.0,37000,no,31080.0,3360.0,no
1180,Moneda Santa Elena 25 Pence 1980,16.0,24640.0,33000,no,27720.0,3080.0,no
1182,Moneda Islas Malvinas 50 Pence 1980,20.0,30800.0,40000,no,33600.0,2800.0,no
1183,Moneda Gibraltar 25 New Pence 1972,14.0,21560.0,29000,no,24360.0,2800.0,no
1184,Moneda Gibraltar 1 Crown 1977,14.0,21560.0,29000,no,24360.0,2800.0,no
1185,Moneda Gibraltar 1 Crown 1980,14.0,21560.0,29000,no,24360.0,2800.0,no
1186,Moneda Gibraltar 25 New Pence 1971,14.0,21560.0,29000,no,24360.0,2800.0,no
1187,Moneda Gibraltar 1 Crown 1967,14.0,21560.0,29000,no,24360.0,2800.0,no
1188,Moneda Gibraltar 1 Crown 1970,18.0,27720.0,37000,no,31080.0,3360.0,no
1190,Moneda Gibraltar 1 Crown 1991,16.0,24640.0,33000,no,27720.0,3080.0,no
1191,Moneda Guernsey 25 New Pence 1980,14.0,21560.0,29000,no,24360.0,2800.0,no
1193,Moneda Reino Unido 20 Pence 1993,1.5,2310.0,6000,no,5040.0,2730.0,no
1194,Moneda Reino Unido 20 Pence 2002,1.5,2310.0,6000,no,5040.0,2730.0,no
1195,Moneda Reino Unido 20 Pence 2006,1.5,2310.0,6000,no,5040.0,2730.0,no
1196,Moneda Reino Unido 20 Pence 2008,1.5,2310.0,6000,no,5040.0,2730.0,no
1197,Moneda Reino Unido 20 Pence 2010,1.5,2310.0,6000,no,5040.0,2730.0,no
1198,Moneda Reino Unido 20 Pence 2011,1.5,2310.0,6000,no,5040.0,2730.0,no
1199,Moneda Reino Unido 20 Pence 2015,1.5,2310.0,6000,no,5040.0,2730.0,no
1200,Moneda Reino Unido 20 Pence 2016,1.5,2310.0,6000,no,5040.0,2730.0,no
1201,Moneda Reino Unido 20 Pence 2020,1.5,2310.0,6000,no,5040.0,2730.0,no
1203,Moneda Reino Unido 5 Pence 1991,1.0,1540.0,5000,no,4200.0,2660.0,no
1204,Moneda Reino Unido 5 Pence 2014,1.0,1540.0,5000,no,4200.0,2660.0,no
1205,Moneda Reino Unido 5 Pence 2017,1.0,1540.0,5000,no,4200.0,2660.0,no
1206,Moneda Reino Unido 5 Pence 2012,1.0,1540.0,5000,no,4200.0,2660.0,no
1208,Moneda Reino Unido 10 Pence 2012,1.5,2310.0,6000,no,5040.0,2730.0,no
1213,Moneda Reino Unido 1 Penny 2002,0.5,770.0,4000,no,3360.0,2590.0,no
1214,Moneda Reino Unido 1 Penny 2004,0.5,770.0,4000,no,3360.0,2590.0,no
1215,Moneda Reino Unido 1 Pound 2016,2.0,3080.0,7000,no,5880.0,2800.0,no
1216,Moneda Reino Unido 1 Pound 2018,2.0,3080.0,7000,no,5880.0,2800.0,no
1220,Moneda Argentina 2 Centavos 1885,5.0,7700.0,13000,no,10920.0,3220.0,no
1221,Moneda Argentina 2 Centavos 1889,2.0,3080.0,7000,no,5880.0,2800.0,no
1223,Moneda Argentina 2 Centavos 1891,2.0,3080.0,7000,no,5880.0,2800.0,no
1227,Moneda China 10 Yuan Año del Perro 2018,5.0,7700.0,13000,no,10920.0,3220.0,no
1231,Moneda Sri Lanka 20 Rupees Banco Central 2020,5.0,7700.0,13000,no,10920.0,3220.0,no
1234,Moneda China 5 Yuan Ópera de Pekín 2023,5.5,8470.0,14000,no,11760.0,3290.0,no
1235,Moneda Samoa 1 Sene Lori Corona Azul 2020,3.5,5390.0,10000,no,8400.0,3010.0,no
1237,Moneda Canadá 5 Cents Centenario de la Confederación 1967,3.0,4620.0,9000,no,7560.0,2940.0,no
1238,Moneda Francia 5 Francs Pierre Mendès France 1992,4.0,6160.0,11000,no,9240.0,3080.0,no
1240,Moneda Chile 100 Pesos 2025,3.0,4620.0,9000,no,7560.0,2940.0,no
1241,Moneda Canadá 25 Cents Día del Recuerdo (Amapola) 2004,2.5,3850.0,8000,no,6720.0,2870.0,no
